№;Зона;Категорія;Тест-кейс;Тестові дані;Кроки;Очікуваний результат;Пріоритет;Статус
1;Онбординг;Перший запуск;Онбординг показується при першому запуску;Чистий застосунок (видалений і встановлений заново);1. Видалити застосунок. 2. Встановити. 3. Запустити.;3 екрани онбордингу по черзі;🔴;[ ]
2;Онбординг;Перший запуск;Кнопка Далі переходить між екранами;Чистий застосунок;1. Запустити. 2. Тапнути Далі на кожному.;1→2→3→Почати;🔴;[ ]
3;Онбординг;Перший запуск;Кнопка Пропустити завершує онбординг;Чистий застосунок;1. Запустити. 2. Пропустити.;Одразу головний екран;🟠;[ ]
4;Онбординг;Повторний запуск;Онбординг не показується повторно;Застосунок вже запускався;1. Закрити. 2. Відкрити знову.;Одразу головний без онбордингу;🔴;[ ]
5;Онбординг;Нотифікації;Запит дозволу після онбордингу;Чистий застосунок;1. Пройти онбординг. 2. Натиснути Почати.;Системний діалог iOS;🟠;[ ]
6;Додавання кредиту;Новий — ставка;Ануїтетний кредит;Назва: Авто / Сума: 100000 / Платежів: 36 / Ставка: 24% / Перший платіж: 15-те наступного місяця;1. Головна → +. 2. Новий. 3. Я знаю ставку. 4. Заповнити. 5. Зберегти.;Кредит на головній. Платіж ≈ 3 923 ₴;🔴;[ ]
7;Додавання кредиту;Новий — платіж;Кредит з відомим платежем;Назва: Телефон / Сума: 24000 / Платежів: 24 / Платіж: 1000 ₴;1. Новий. 2. Я знаю суму. 3. Заповнити. 4. Зберегти.;Ставка = 0%. Платіж = 1 000 ₴;🔴;[ ]
8;Додавання кредиту;Вже плачу;Кредит що вже виплачується;Назва: Вже плачу / Залишок: 30000 / Платежів: 12 / Ставка: 15% / Наступний: 31-ше;1. Вже плачу. 2. Заповнити. 3. Зберегти.;Поля Платежів залишилось і Наступний платіж. Платіж ≈ 2 708 ₴;🔴;[ ]
9;Додавання кредиту;Валідація;Порожня назва блокує збереження;Всі поля крім назви / Сума: 50000 / Платежів: 24 / Ставка: 20%;1. Новий. 2. Назву — порожньою. 3. Зберегти.;Кнопка задизаблена або помилка;🟠;[ ]
10;Додавання кредиту;Валідація;Сума 0 блокує збереження;Назва: Тест / Сума: 0 / Платежів: 12 / Ставка: 10%;1. Новий. 2. Сума 0. 3. Зберегти.;Помилка — сума > 0;🟠;[ ]
11;Додавання кредиту;Валідація;Платіж надто малий;Назва: Тест / Сума: 50000 / Платежів: 24 / Платіж: 500 ₴;1. Я знаю суму. 2. Платіж 500 ₴ при 50 000 ₴ за 24 міс.;Повідомлення — платіж не покриває відсотки;🟠;[ ]
12;Додавання кредиту;Розстрочка 0%;Автовизначення розстрочки 0%;Назва: Ноутбук 0% / Сума: 12000 / Платежів: 12 / Платіж: 1000 ₴ (1000×12=12000);1. Я знаю суму. 2. 1000×12=12000. 3. Зберегти.;Ставка = 0%. Тег розстрочка;🟠;[ ]
13;Додавання кредиту;Підписи;Підписи Новий vs Вже плачу;—;1. Форма. 2. Перемкнути на Вже плачу. 3. Назад.;Новий: Перший платіж. Вже плачу: Наступний платіж із підказкою;🟡;[ ]
14;Додавання кредиту;Підписи;Підпис кількості платежів у Вже плачу;—;1. Форма → Вже плачу.;Платежів залишилось із підказкою;🟡;[ ]
15;Додавання кредиту;День 31;Дата 31 — зберігається і правильно clamped;Назва: Вже плачу / Залишок: 30000 / Платежів: 12 / Ставка: 15% / Дата: 31-ше;1. Дата 31-го. 2. Зберегти. 3. Деталі — лютий.;Лютий: 28/29-те. Наступний місяць — 31-ше;🔴;[ ]
16;Головний екран;Порожній стан;Порожній стан без кредитів;Жодних кредитів;1. Видалити всі або чистий застосунок.;Ілюстрація + Додати перший кредит;🟠;[ ]
17;Головний екран;Сортування;Кредити за датою наступного платежу;Авто (15-те) + Телефон (10-те) + Ноутбук (28-ме);1. Додати 3 кредити. 2. Головна.;Телефон (10) → Авто (15) → Ноутбук (28);🔴;[ ]
18;Головний екран;Загальний борг;Загальний борг = σ майбутніх платежів;Авто (100000 / 36 / 24%) + Телефон (24000 / 24 / 0%);1. Додати обидва. 2. Коралова плашка.;Загальний борг = сума (платіж × кількість);🔴;[ ]
19;Головний екран;Залишилось цього місяця;Зменшується після платежу;Авто (≈3923 ₴) / Без стратегії;1. Запамятати суму. 2. Внести платіж. 3. Головна.;Сума зменшилась на суму платежу;🔴;[ ]
20;Головний екран;Залишилось цього місяця;Цього місяця все внесено;Всі платежі місяця внесені;1. Внести всі планові платежі місяця.;Текст Цього місяця все внесено;🟠;[ ]
21;Головний екран;Банер стратегії;Банер при 2+ кредитах без стратегії;2 кредити / Стратегія не обрана;1. Два кредити без стратегії. 2. Головна.;Банер Оберіть стратегію видний;🟠;[ ]
22;Головний екран;Банер стратегії;Банер зникає після вибору стратегії;Лавина обрана;1. Обрати Лавину. 2. Головна.;Банер відсутній;🟠;[ ]
23;Головний екран;Прострочення;Прострочений кредит — червоне виділення;Авто / Дата платежу вчора / Не оплачений;1. Кредит із датою у минулому. 2. Не платити.;Червона рамка + Прострочено;🔴;[ ]
24;Деталі кредиту;Відкриття;Тап відкриває деталі;Авто (100000 / 36 / 24%);1. Тап по картці.;Екран деталей;🔴;[ ]
25;Деталі кредиту;Навігація;Кнопка назад повертає на головний;—;1. Деталі → ←.;Головний без краша;🔴;[ ]
26;Деталі кредиту;Навігація iOS26;Кнопки без білого квадрата (iOS 26);—;1. Відкрити деталі.;Neumorphic кружечки без додаткового фону;🔴;[ ]
27;Деталі кредиту;Прогрес — реактивність;Прогрес оновлюється одразу після платежу;Авто (100000 / 36 / 24%);1. Запамятати % . 2. Внести 3 923 ₴. 3. Деталі.;% збільшився без перезапуску;🔴;[ ]
28;Деталі кредиту;Прогрес — перший платіж;Після першого платежу прогрес > 0%;Авто без платежів;1. Внести 3 923 ₴. 2. Деталі.;Виплачено ≈ 2%;🔴;[ ]
29;Деталі кредиту;Прогрес — 100%;100% після повного погашення;Малий борг (5000 / 6 / 12%) — повне дострокове;1. Дострокове на всю суму. 2. Деталі.;Виплачено 100%;🔴;[ ]
30;Деталі кредиту;Графік — 6 рядків;6 рядків за замовчуванням;Авто (36 платежів);1. Деталі.;6 рядків + Показати всі 36;🟠;[ ]
31;Деталі кредиту;Графік — розгортання;Розгортання всіх рядків;Авто (36 платежів);1. Деталі. 2. Показати всі 36.;36 рядків відображені;🟠;[ ]
32;Деталі кредиту;Часткові — позаплановий;Внесено цього місяця для позапланового;Авто (платіж 15-го) / Позаплановий 1000 ₴ до 15-го;1. Додатково → 1000 ₴. 2. Деталі.;Внесено цього місяця: 1 000 ₴ / 3 923 ₴;🔴;[ ]
33;Деталі кредиту;Часткові — без платежів;Блок відсутній без платежів;Авто без платежів;1. Деталі.;Блок Внесено відсутній;🟠;[ ]
34;Деталі кредиту;Часткові — повністю;Блок відсутній при >= суми платежу;Авто / Позаплановий >= 3923 ₴;1. Позаплановий 4000 ₴. 2. Деталі.;Блок відсутній;🟠;[ ]
35;Внесення платежу;Підстановка суми;Підставляється планова сума;Авто (≈3923 ₴) / Без стратегії;1. Деталі → Внести платіж.;В полі вже ≈ 3 923 ₴;🔴;[ ]
36;Внесення платежу;Збереження;Плановий платіж зберігається;Авто (100000 / 36 / 24%) / 3923 ₴;1. Внести → 3923 ₴ → сьогодні → Внести.;Баланс − principalPart (~1923 ₴). Графік оновлено;🔴;[ ]
37;Внесення платежу;Недоплата;Недоплата менше мінімуму;Авто (≈3923 ₴) / Внести 2000 ₴;1. Внести → 2000 ₴.;Платіж 2000 ₴ збережений. Баланс − principalPart від 2000 ₴;🟠;[ ]
38;Внесення платежу;Переплата;Переплата більше мінімуму;Авто / Внести 5000 ₴;1. Внести → 5000 ₴.;Платіж 5000 ₴. Графік скорочується;🟠;[ ]
39;Внесення платежу;Дата заднім числом;Платіж заднім числом;Авто / Дата — 3 дні тому;1. Внести → дата -3 дні → Внести.;Зберігається із заднєю датою;🟠;[ ]
40;Внесення платежу;2 кнопки стратегії;Дві підказки для пріоритетного кредиту;Авто (3923) + Малий (862) / Лавина / Бюджет: 6000 ₴;1. Деталі Авто → Внести.;Рекомендований X ₴ і Мінімальний 3 923 ₴;🟠;[ ]
41;Внесення платежу;1 кнопка стратегії;Одна підказка для непріоритетного;Малий борг (862 ₴) — непріоритетний;1. Деталі Малий → Внести.;Одна кнопка: 862 ₴;🟡;[ ]
42;Внесення платежу;Додатковий тип;Перемикання на Додатковий;Авто;1. Внести платіж → перемкнути на Додатковий.;Поле очищується. Підпис: Сума додаткового;🟠;[ ]
43;Внесення платежу;Редагування;Редагування внесеного платежу;Авто / 1 платіж;1. Тап → Редагувати → нова сума → Зберегти.;Оновлено. Баланс перерахований;🟠;[ ]
44;Внесення платежу;Скасування платежу;Видалення платежу;Авто / 1 платіж (3923 ₴);1. Тап → Скасувати → підтвердити.;Платіж видалено. Баланс повернувся;🔴;[ ]
45;Позаплановий;Часткове погашення;Дострокове — частина;Авто / Залишок після 1 платежу ≈98077 ₴ / Внести 10000 ₴;1. Дострокове → 10000 ₴ → Підтвердити.;Баланс ≈88077 ₴. Кількість платежів скоротилась;🔴;[ ]
46;Позаплановий;Повне погашення;Повне дострокове;Малий борг (5000 ₴) без платежів;1. Дострокове → Погасити повністю → Підтвердити.;Баланс = 0. Пропозиція архівувати;🔴;[ ]
47;Позаплановий;Симуляція;Ефект до підтвердження;Авто (36 міс) / Ввести 10000 ₴;1. Дострокове → 10000 ₴ (не підтверджувати).;Скорочення (X міс) і економія до підтвердження;🟠;[ ]
48;Позаплановий;Перевищення балансу;Платіж > залишку;Малий борг залишок 2000 ₴ / Ввести 5000 ₴;1. Дострокове → 5000 ₴ → Підтвердити.;Збережено 2000 ₴. Кредит закрито;🔴;[ ]
49;Редагування кредиту;Зміна ставки;Перерахунок після зміни ставки;Авто (100000 / 36 / 24%) → ставка 20%;1. Редагувати → ставка 20% → Зберегти.;Платіж ≈3700 ₴. Графік оновлено;🔴;[ ]
50;Редагування кредиту;Оплачені не змінюються;Оплачені зберігаються при редагуванні;Авто / 2 платежі внесені;1. 2 платежі. 2. Редагувати ставку. 3. Графік.;Перші 2 — Оплачено. Наступні — перераховані;🔴;[ ]
51;Редагування кредиту;Видалення;Видалення з підтвердженням;Авто;1. Деталі → Видалити → підтвердити.;Зникає. Повернення на головний;🔴;[ ]
52;Редагування кредиту;Скасування видалення;Скасування не видаляє;Авто;1. Деталі → Видалити → Скасувати.;Кредит залишається;🟠;[ ]
53;Архів;Пропозиція при балансі 0;Алерт при погашенні;Малий борг (5000 ₴);1. Погасити повністю.;Алерт: Архівувати / Залишити активним;🔴;[ ]
54;Архів;Ручна архівація;Архівування вручну;Авто (не погашений);1. Деталі → Архівувати → підтвердити.;В Архіві. З головного зник;🟠;[ ]
55;Архів;Список;Архівований у списку;Авто — архівований;1. Вкладка Архів.;Кредит у списку з назвою;🟠;[ ]
56;Архів;Розархівація;Розархівування;Авто в архіві;1. Архів → свайп вліво → Відновити.;Повернувся на головний;🟠;[ ]
57;Архів;Видалення;Видалення з архіву;Авто в архіві;1. Архів → Видалити → підтвердити.;Кредит і вся історія видалені;🟠;[ ]
58;Архів;Read-only;Кнопки задизаблені в деталях архівованого;Авто в архіві;1. Архів → тап.;Деталі. Внести і Дострокове — задизаблені;🟡;[ ]
59;Стратегія;Стан 1;Онбординг при відсутній стратегії;1+ кредитів / Без стратегії;1. Вкладка План.;Попап: Обрати план / Додати кредит;🟠;[ ]
60;Стратегія;Стан 2 — бюджет;Обовязкові і вільний бюджет;Авто (3923) + Телефон (1000) + Ноутбук (3190) / Бюджет: 10000 ₴;1. Обрати план. 2. Ввести 10000 ₴.;Обовязкові: 8 113 ₴. Вільно: 1 887 ₴;🟠;[ ]
61;Стратегія;Лавина;Найвища ставка — пріоритет;Авто (24%) + Телефон (0%) + Ноутбук (18%) / Бюджет: 10000 ₴;1. Обрати Лавина.;Додатковий платіж → Авто (24%);🔴;[ ]
62;Стратегія;Сніжний ком;Найменший залишок — пріоритет;Малий борг (5000) + Авто (100000) + Телефон (24000);1. Обрати Сніжний ком.;Додатковий → Малий борг;🟠;[ ]
63;Стратегія;Свій порядок — 7;Всі 7 кредитів видно;7 активних кредитів;1. Свій порядок.;Всі 7 без обрізання;🔴;[ ]
64;Стратегія;Свій порядок — збереження;Порядок зберігається;7 кредитів / Поміняти 1-й і 3-й;1. Перетягнути. 2. Обрати. 3. Вийти і повернутись.;Порядок збережений;🟠;[ ]
65;Стратегія;Ефект;Банер X місяців раніше;Авто + Ноутбук / Бюджет: 10000 ₴ / Лавина;1. Підрахувати план.;Банер: на X місяців раніше;🟡;[ ]
66;Стратегія;Бюджет < обовязкових;Попередження без рекомендацій;Авто (3923) + Телефон (1000) / Бюджет: 3000 ₴;1. Бюджет 3000 при 4923 обовязкових.;Попередження. Без додаткових рекомендацій;🟠;[ ]
67;Стратегія;Бейдж Рекомендовано;Бейдж тільки у Лавина;—;1. Результат плану.;Бейдж тільки у Лавина;🟡;[ ]
68;Стратегія;Перебудова;Перебудовується після платежу;Авто + Малий / Лавина / Бюджет: 6000 ₴;1. Запамятати. 2. Внести платіж. 3. План.;Рекомендації оновились;🟠;[ ]
69;Нотифікації;Збереження;Перемикачі зберігаються;—;1. Увімкнути За 3 дні. 2. Закрити. 3. Відкрити.;Залишається увімкненим;🟠;[ ]
70;Нотифікації;Дозвіл відсутній;Підказка при вимкнених нотифікаціях iOS;Нотифікації вимкнені на рівні iOS;1. Вимкнути в iOS. 2. Ще.;Підказка Увімкніть нотифікації;🟡;[ ]
71;Налаштування;Privacy Policy;Відкриває Safari;—;1. Ще → Політика конфіденційності.;Safari з https://d3r3sh.github.io/bezborhiv-privacy/;🔴;[ ]
72;Налаштування;Privacy Policy;Повернення з Safari;—;1. Відкрити. 2. Закрити Safari.;Застосунок на екрані Ще;🟡;[ ]
73;Налаштування;Посилання бюджет;Рядок Бюджет → вкладка Стратегія;—;1. Ще → Бюджет.;Вкладка План;🟡;[ ]
74;Налаштування;Поточна стратегія;Відображається поточна стратегія;Лавина;1. Ще → Стратегія.;Лавина;🟡;[ ]
75;Debug;Скинути все;Повне скидання;3 кредити / Стратегія: Лавина / Онбординг пройдено;1. Ще → Скинути все → підтвердити.;Кредити зникли. Стратегія = Не обрано. Онбординг скинуто;🟠;[ ]
76;Debug;Скинути все — скасування;Скасування не змінює дані;3 кредити;1. Скинути все → Скасувати.;Без змін;🟠;[ ]
77;Debug;Скинути онбординг;Онбординг при наступному запуску;—;1. Ще → Скинути онбординг. 2. Закрити. 3. Відкрити.;Онбординг знову;🟡;[ ]
78;Debug;Очистити кредити;Тільки кредити — налаштування залишаються;5 кредитів / Стратегія: Лавина;1. Очистити кредити → підтвердити.;Кредити видалені. Стратегія збережена;🟡;[ ]
79;Edge Case;Дата 31 квітень;31-ше у місяці з 30 днів;Вже плачу / Залишок: 30000 / Дата: 31-ше;1. Додати. 2. Дата у квітні.;Квітень: 30-те. Травень: 31-ше;🔴;[ ]
80;Edge Case;Дата 31 лютий;31-ше у лютому;Вже плачу / Залишок: 30000 / Дата: 31-ше;1. Дата у лютому.;28/29-те. Наступний: 31-ше;🔴;[ ]
81;Edge Case;initialAmount;Прогрес від залишку а не від початкової суми;Вже плачу / Залишок: 30000 / Платежів: 12 / Ставка: 15%;1. Внести 1 платіж. 2. % у деталях.;% від 30 000 — не від оригінальної суми;🔴;[ ]
82;Edge Case;Два платежі одного дня;Стабільне сортування;Авто;1. Плановий сьогодні. 2. Позаплановий сьогодні.;Баланс коректний. Без краша;🟠;[ ]
